PRECIPITATION,MAX_TEMP,MIN_TEMP,AVG_WIND_SPEED,TEMP_RANGE,FIRE_START_DAY,SEASON_Fall,SEASON_Spring,SEASON_Summer,SEASON_Winter
3.556,15.555555555555555,9.444444444444445,4.001008,6.111111111111111,False,0,1,0,0
0.0,26.11111111111111,17.77777777777778,2.9996384,8.333333333333332,True,0,0,1,0
0.0,21.11111111111111,15.555555555555555,4.6000416,5.555555555555555,True,0,0,1,0
0.0,20.0,16.666666666666668,3.5003232,3.333333333333332,True,1,0,0,0
0.0,21.666666666666668,17.22222222222222,4.3988736,4.444444444444446,True,0,0,1,0
0.0,21.11111111111111,12.22222222222222,4.202176,8.88888888888889,False,0,1,0,0
0.0,16.666666666666668,11.11111111111111,2.9996384,5.555555555555557,False,0,0,0,1
0.0,22.77777777777778,10.555555555555555,2.7984704,12.222222222222223,False,0,1,0,0
0.0,22.77777777777778,15.555555555555555,3.598672,7.222222222222223,False,0,1,0,0
0.0,22.77777777777778,16.11111111111111,2.9996384,6.666666666666668,True,0,0,1,0
0.0,28.33333333333333,15.555555555555555,2.6017728,12.777777777777777,False,0,1,0,0
0.0,22.77777777777778,17.77777777777778,4.202176,5.0,True,0,0,1,0
0.0,27.77777777777778,15.555555555555555,2.1994368,12.222222222222223,False,0,0,0,1
0.0,22.22222222222222,12.77777777777778,2.7984704,9.444444444444445,False,0,1,0,0
0.0,26.666666666666668,13.333333333333334,2.7984704,13.333333333333334,False,0,0,0,1
0.0,29.444444444444443,21.666666666666668,3.4019744000000003,7.777777777777775,False,1,0,0,0
0.0,19.444444444444443,11.11111111111111,5.1990752,8.333333333333332,False,0,1,0,0
0.0,23.33333333333333,16.666666666666668,3.4019744000000003,6.666666666666664,False,0,0,1,0
0.0,23.33333333333333,17.77777777777778,4.0993568,5.555555555555554,True,0,0,1,0
0.0,27.77777777777778,18.33333333333333,2.9012896,9.444444444444446,True,0,0,1,0
0.0,21.666666666666668,16.11111111111111,3.598672,5.555555555555557,True,0,0,1,0
0.0,16.11111111111111,10.555555555555555,4.8012096,5.555555555555555,False,0,0,0,1
0.0,23.88888888888889,13.88888888888889,2.6017728,10.0,False,1,0,0,0
0.0,20.55555555555556,14.444444444444445,2.7984704,6.1111111111111125,True,0,1,0,0
0.0,22.77777777777778,17.22222222222222,3.79984,5.555555555555557,True,0,0,1,0
0.0,17.77777777777778,11.666666666666666,3.2991552,6.1111111111111125,True,0,1,0,0
10.922,16.666666666666668,15.555555555555555,2.9996384,1.1111111111111125,False,0,0,0,1
0.0,15.0,6.666666666666667,2.6017728,8.333333333333332,False,0,0,0,1
0.0,15.555555555555555,6.666666666666667,4.001008,8.88888888888889,False,0,0,0,1
0.0,22.22222222222222,9.444444444444445,2.6017728,12.777777777777777,False,0,0,0,1
0.0,26.11111111111111,17.22222222222222,3.5003232,8.88888888888889,True,0,0,1,0
0.254,15.555555555555555,12.22222222222222,2.2977856,3.333333333333334,False,1,0,0,0
8.636000000000001,20.0,15.0,3.8981888,5.0,False,0,1,0,0
0.0,24.444444444444443,11.666666666666666,2.7001216,12.777777777777777,False,1,0,0,0
0.508,21.11111111111111,16.11111111111111,2.7984704,5.0,False,1,0,0,0
0.0,19.444444444444443,14.444444444444445,4.6983904,4.999999999999998,False,0,1,0,0
0.0,21.666666666666668,16.666666666666668,4.202176,5.0,False,0,0,1,0
1.016,12.22222222222222,8.88888888888889,3.5003232,3.333333333333332,False,0,0,0,1
7.619999999999999,15.555555555555555,10.555555555555555,3.8981888,5.0,False,0,1,0,0
0.0,25.55555555555556,19.444444444444443,3.4019744000000003,6.111111111111114,True,0,0,1,0
0.0,23.33333333333333,16.666666666666668,4.0993568,6.666666666666664,False,0,0,1,0
0.0,25.55555555555556,18.33333333333333,3.0979872,7.222222222222225,False,0,0,1,0
0.0,22.22222222222222,12.77777777777778,4.001008,9.444444444444445,False,0,1,0,0
0.0,22.22222222222222,16.666666666666668,2.9012896,5.555555555555554,False,0,0,1,0
0.0,27.22222222222222,20.55555555555556,3.0979872,6.666666666666664,True,0,0,1,0
0.0,22.22222222222222,17.22222222222222,3.7014912,5.0,False,0,0,1,0
